AÑO;NOMBRE_IES;TIPO_FINANCIAMIENTO;NOMBRE_CARRERA;NIVEL_FORMACION;MODALIDAD;CAMPO_AMPLIO;CAMPO_ESPECIFICO;CAMPO_DETALLADO;TIPO_SEDE;PROVINCIA_SEDE;CANTON_SEDE;SEXO;ETNIA;PUEBLO_NACIONALIDAD;DISCAPACIDAD;PROVINCIA_RESIDENCIA;CANTON_RESIDENCIA;TOTAL
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; AFROECUATORIANO ;NO_APLICA; NINGUNA ; PICHINCHA ; QUITO ;2
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; BLANCO ;NO_APLICA; NINGUNA ; PICHINCHA ; QUITO ;1
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; MESTIZO ;NO_APLICA; FISICA_MOTORA ; PICHINCHA ; QUITO ;1
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; MESTIZO ;NO_APLICA; NINGUNA ; PICHINCHA ; QUITO ;40
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; MESTIZO ;NO_APLICA; NINGUNA ; NO_REGISTRA ; NO_REGISTRA ;7
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; MONTUBIO ;NO_APLICA; NINGUNA ; PICHINCHA ; QUITO ;1
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; NO_REGISTRA ;NO_APLICA; NINGUNA ; PICHINCHA ; QUITO ;8
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; NO_REGISTRA ;NO_APLICA; NINGUNA ; NO_REGISTRA ; NO_REGISTRA ;1
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; NO_REGISTRA ;NO_REGISTRA; NINGUNA ; PICHINCHA ; QUITO ;15
2015; ESCUELA POLITECNICA NACIONAL ;PUBLICA; INGENIERIA AGROINDUSTRIAL ; TERCER NIVEL DE GRADO ;PRESENCIAL; AGRICULTURA, SILVICULTURA, PESCA Y VETERINARIA ; AGRICULTURA, SILVICULTURA Y PESCA ;NO_REGISTRA; MATRIZ ; PICHINCHA ;QUITO; HOMBRE ; NO_REGISTRA ;NO_REGISTRA; NINGUNA ; NO_REGISTRA ; NO_REGISTRA ;21
